code,nx,ny,name,marine_reg_id,marine_reg_sp,marine_reg_name,temper_reg_id,temper_reg_sp,temper_reg_name,division
DT_0001,58,125,인천,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0002,63,112,평택,12A20000,I,서해중부,11B20605,C,평택,수도권
DT_0003,57,82,영광,12A30000,I,서해남부,21F20102,C,영광,서남해안
DT_0004,53,38,제주,12B10500,I,제주도해상,11G00201,C,제주,제주도
DT_0005,98,77,부산,12B20000,I,남해동부,11H20201,C,부산,경상남도
DT_0006,102,123,묵호,12C20000,I,동해중부,11D20601,C,동해,강원영동
DT_0007,57,71,목포,12A30000,I,서해남부,21F20801,C,목포,서남해안
DT_0008,60,118,안산,12A10000,I,서해북부,11B20203,C,안산,수도권
DT_0009,102,95,포항,12C10000,I,동해남부,11H10201,C,포항,경상북도
DT_0010,52,33,서귀포,12B10000,I,남해서부,11G00401,C,서귀포,제주도
DT_0011,106,106,후포,12C10000,I,동해남부,11H10101,C,울진,경상북도
DT_0012,96,134,속초,12C20000,I,동해중부,11D20401,C,속초,강원영동
DT_0013,127,127,울릉도,12C20000,I,동해중부,11E00101,C,울릉도,울릉도·독도
DT_0014,93,72,통영,12B20000,I,남해동부,11H20401,C,통영,경상남도
DT_0015,95,81,마산,12B20000,I,남해동부,11H20301,C,창원,경상남도
DT_0016,83,70,여수,12B10000,I,남해서부,11F20401,C,여수,전라남도
DT_0017,56,113,대산,12A10000,I,서해북부,11C20101,C,서산,충청남도
DT_0018,58,97,군산,12A20000,I,서해중부,21F10501,C,군산,서남해안
DT_0019,99,74,가덕도,12B20000,I,남해동부,11H20201,C,부산,경상남도
DT_0020,103,87,울산,12B20000,I,남해동부,11H20101,C,울산,경상남도
DT_0021,54,51,추자도,12A30000,I,서해남부,11G00800,C,추자도,제주도
DT_0022,60,37,성산포,12B10000,I,남해서부,11G00101,C,성산,제주도
DT_0023,48,32,모슬포,12B10000,I,남해서부,11G00401,C,서귀포,제주도
DT_0024,60,98,장항,12A20000,I,서해중부,11C20202,C,서천,충청남도
DT_0025,58,102,보령,12A20000,I,서해중부,11C20201,C,보령,충청남도
DT_0026,76,64,고흥발포,12B10000,I,남해서부,11F20403,C,고흥,전라남도
DT_0027,64,59,완도,12A30000,I,서해남부,11F20301,C,완도,전라남도
DT_0028,56,63,진도,12A30000,I,서해남부,21F20201,C,진도,서남해안
DT_0029,97,71,거제도,12B20000,I,남해동부,11H20403,C,거제,경상남도
DT_0030,55,87,위도,12A20000,I,서해중부,21F10602,C,위도,서남해안
DT_0031,74,53,거문도,12B10000,I,남해서부,11F20401,C,여수,전라남도
DT_0032,58,129,강화대교,12A10000,I,서해북부,11B20101,C,강화,수도권
DT_0034,52,107,안흥,12A20000,I,서해중부,11C20102,C,태안,충청남도
DT_0035,41,68,흑산도,12A30000,I,서해남부,21F20803,C,신안,서남해안
DT_0036,39,131,대청도,12A10000,I,서해북부,11A00101,C,백령도,백령도
DT_0037,50,99,어청도,12A20000,I,서해중부,21F10501,C,군산,서남해안
DT_0038,50,118,굴업도,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0039,110,106,왕돌초,12C10000,I,동해남부,11H10101,C,울진,경상북도
DT_0040,146,123,독도,12C20000,I,동해중부,11E00102,C,독도,울릉도·독도
DT_0041,52,56,복사초,12A30000,I,서해남부,21F20201,C,진도,서남해안
DT_0042,91,68,교본초,12B20000,I,남해동부,11H20401,C,통영,경상남도
DT_0043,57,120,영흥도,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0044,58,127,영종대교,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0045,44,106,격렬비열도,12A20000,I,서해중부,11C20102,C,태안,충청남도
DT_0046,128,128,쌍정초,12C20000,I,동해중부,11E00101,C,울릉도,울릉도·독도
DT_0047,49,31,도농탄,12B10000,I,남해서부,11G00401,C,서귀포,제주도
DT_0048,96,134,속초등표,12C20000,I,동해중부,11D20401,C,속초,강원영동
DT_0049,83,74,광양,12B10000,I,남해서부,11F20402,C,광양,전라남도
DT_0050,54,111,태안,12A20000,I,서해중부,11C20102,C,태안,충청남도
DT_0051,58,99,서천마량,12A20000,I,서해중부,11C20202,C,서천,충청남도
DT_0052,58,122,인천송도,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0054,96,79,진해,12B20000,I,남해동부,11H20301,C,창원,경상남도
DT_0056,98,76,부산항신항,12B20000,I,남해동부,11H20201,C,부산,경상남도
DT_0057,103,122,동해항,12C10000,I,동해남부,11D20601,C,동해,강원영동
DT_0058,59,127,경인항,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0059,40,134,백령도,12A10000,I,서해북부,11A00101,C,백령도,백령도
DT_0060,47,128,연평도,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0061,89,74,삼천포,12B20000,I,남해동부,11H20402,C,사천,경상남도
DT_0062,95,80,마산,12B20000,I,남해동부,11H20301,C,창원,경상남도
DT_0063,99,74,가덕도,12B20000,I,남해동부,11H20201,C,부산,경상남도
DT_0064,55,131,교동대교,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0065,53,119,덕적도,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0067,52,107,안흥,12A20000,I,서해중부,11C20102,C,태안,충청남도
DT_0068,55,87,위도,12A20000,I,서해중부,21F10602,C,부안,서남해안
DT_0091,102,95,포항,12C10000,I,동해남부,11H10201,C,포항,경상북도
DT_0092,78,68,여호항,12B10000,I,남해서부,11F20403,C,고흥,전라남도
DT_0093,56,123,소무의도,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0094,48,61,서거차도,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0326,89,68,미조항,12B20000,I,남해동부,11H20405,C,남해,경상남도
SO_0536,53,119,덕적도,12A10000,I,서해북부,11B20201,C,인천,수도권
SO_0537,57,67,벽파진,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0538,50,80,안마도,12A30000,I,서해남부,21F20102,C,영광,서남해안
SO_0539,56,129,강화외포,12A10000,I,서해북부,11B20101,C,강화,수도권
SO_0540,104,115,호산항,12C20000,I,동해중부,11D20602,C,삼척,강원영동
SO_0543,48,61,서거차도,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0547,55,94,말도,12A20000,I,서해중부,21F10501,C,군산,서남해안
SO_0548,47,67,우이도,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0550,78,65,나로도,12B10000,I,남해서부,11F20403,C,고흥,전라남도
SO_0551,68,53,여서도,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0552,96,75,고현항,12B20000,I,남해동부,11H20403,C,거제,경상남도
SO_0553,100,80,해운대,12B20000,I,남해동부,11H20201,C,부산,경상남도
SO_0554,55,125,영종왕산,12A10000,I,서해북부,11B20201,C,인천,수도권
SO_0555,52,63,서망항,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0562,55,117,승봉도,12A10000,I,서해북부,11B20201,C,인천,수도권
SO_0563,50,114,울도,12A10000,I,서해북부,11B10101,C,서울,수도권
SO_0564,59,114,국화도,12A10000,I,서해북부,11C20103,C,당진,충청남도
SO_0565,56,77,향화도항,12A30000,I,서해남부,21F20102,C,영광,서남해안
SO_0566,54,72,송공항,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0567,53,66,쉬미항,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0568,81,67,백야도,12B10000,I,남해서부,11F20401,C,여수,전라남도
SO_0569,91,75,남포항,12B20000,I,남해동부,11H10201,C,포항,경상북도
SO_0570,94,78,광암항,12B20000,I,남해동부,11H20301,C,창원,경상남도
SO_0571,98,75,거제외포,12B20000,I,남해동부,11H20403,C,거제,경상남도
SO_0572,105,90,읍천항,12B20000,I,남해동부,11H10202,C,경주,경상북도
SO_0573,106,94,양포항,12B20000,I,남해동부,11H10201,C,포항,경상북도
SO_0574,56,105,백사장항,12A20000,I,서해중부,11C20102,C,태안,충청남도
SO_0576,55,68,화봉리,12A30000,I,서해남부,11F20302,C,해남,전라남도
SO_0577,35,55,가거도,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0578,95,66,소매물도,12B20000,I,남해동부,11H20401,C,통영,경상남도
SO_0581,102,85,강양항,12B20000,I,남해동부,11H20101,C,울산,경상남도
SO_0631,51,72,암태도,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0699,52,110,천리포항,12A20000,I,서해중부,11C20102,C,태안,충청남도
SO_0701,37,68,홍도항,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0702,50,62,진도옥도,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0703,60,59,땅끝항,12A30000,I,서해남부,11F20302,C,해남,전라남도
SO_0704,62,56,소안항,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0705,65,63,마량항,12A30000,I,서해남부,11F20303,C,강진,전라남도
SO_0706,66,56,청산도,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0707,74,61,시산항,12B10000,I,남해서부,11F20403,C,고흥,전라남도
SO_0708,83,64,안도항,12B10000,I,남해서부,11F20401,C,여수,전라남도
SO_0709,84,68,두문포,12B10000,I,남해서부,11F20401,C,여수,전라남도
SO_0710,86,74,봉우항,12B10000,I,남해서부,11H20405,C,남해,경상남도
SO_0711,88,72,창선도,12B20000,I,남해동부,11H20405,C,남해,경상남도
SO_0712,91,71,능양항,12B20000,I,남해동부,11H20401,C,통영,경상남도
SO_0731,94,138,대진항,12C20000,I,동해중부,11D20402,C,고성,강원영동
SO_0732,99,129,남애항,12C20000,I,동해중부,11D20403,C,양양,강원영동
SO_0733,102,126,강릉항,12C20000,I,동해중부,11D20501,C,강릉,강원영동
SO_0734,104,119,궁촌항,12C20000,I,동해중부,11D20602,C,삼척,강원영동
SO_0735,106,113,죽변항,12C20000,I,동해중부,11H10101,C,울진,경상북도
SO_0736,105,103,축산항,12C10000,I,동해남부,11H10102,C,영덕,경상북도
SO_0737,104,100,강구항,12C10000,I,동해남부,11H10102,C,영덕,경상북도
SO_0738,78,68,여호항,12B10000,I,남해서부,11F20403,C,고흥,전라남도
SO_0739,69,60,도장항,12B10000,I,남해서부,11F20301,C,완도,전라남도
SO_0740,60,55,보옥항,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0752,51,74,검산항,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0753,50,66,하의도웅곡,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0754,58,64,평호리,12A30000,I,서해남부,11F20302,C,해남,전라남도
SO_0755,62,61,원동항,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0756,64,64,사초항,12A30000,I,서해남부,11F20303,C,강진,전라남도
SO_0757,74,70,안남리,12B10000,I,남해서부,11F20403,C,고흥,전라남도
SO_0758,80,71,달천도,12B10000,I,남해서부,11F20401,C,여수,전라남도
SO_0759,93,74,장문리,12B20000,I,남해동부,11H20401,C,통영,경상남도
SO_0760,105,109,오산항,12C10000,I,동해남부,11H10101,C,울진,경상북도
SO_0761,72,65,녹동항,12B10000,I,남해서부,11F20403,C,고흥,전라남도