지역명(한글),지역명(영문),위도,경도,제공 정보,미제공 정보
속초,Sokcho,38.25085000,128.56473000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
북춘천,Bukchuncheon,37.94738000,127.75443000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
철원,Cheorwon,38.14787000,127.30420000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
동두천,Dongducheon,37.90188000,127.06070000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
파주,Paju,37.88589000,126.76648000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
대관령,Daegwallyeong,37.67713000,128.71834000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
춘천,Chuncheon,37.90262000,127.73570000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
백령도,Baengnyeongdo,37.97396000,124.71237000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) IR(강수자료유무) IX(유인/무인관측),RN(강수량) RN(강수량) RN(강수량) RN(강수량) BF(최대풍력)
북강릉,Bukgangneung,37.80456000,128.85535000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) IR(강수자료유무) IX(유인/무인관측),TS(지면온도) WH(파고) BF(최대풍력)
강릉,Gangneung,37.75147000,128.89099000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
동해,Donghae,37.50709000,129.12433000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
서울,Seoul,37.57142000,126.96580000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
인천,Incheon,37.47772000,126.62490000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),
원주,Wonju,37.33749000,127.94659000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
울릉도,Ulleungdo,37.48129000,130.89863000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),
수원,Suwon,37.25746000,126.98300000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
영월,Yeongwol,37.18126000,128.45743000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
울진,Uljin,36.99176000,129.41278000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) SI(일사) WH(파고) BF(최대풍력) IX(유인/무인관측)
청주,Cheongju,36.63924000,127.44066000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
대전,Daejeon,36.37199000,127.37210000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
추풍령,Chupungnyeong,36.22025000,127.99458000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
안동,Andong,36.57293000,128.70733000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력)
상주,Sangju,36.40837000,128.15741000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
포항,Pohang,36.03201000,129.38002000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),
군산,Gunsan,36.00530000,126.76135000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) SI(일사) WH(파고) BF(최대풍력) IX(유인/무인관측)
대구,Daegu,35.87797000,128.65296000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
전주,Jeonju,35.84092000,127.11718000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
울산,Ulsan,35.58237000,129.33469000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
창원,Changwon,35.17019000,128.57282000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),
광주,Gwangju,35.17294000,126.89156000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
부산,Busan,35.10468000,129.03203000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),RN(강수량) RN(강수량) RN(강수량) RN(강수량)
통영,Tongyeong,34.84541000,128.43561000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력)
목포,Mokpo,34.81732000,126.38151000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),RN(강수량) RN(강수량) RN(강수량) RN(강수량)
여수,Yeosu,34.73929000,127.74063000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),
흑산도,Heuksando,34.68719000,125.45105000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),RN(강수량) RN(강수량) RN(강수량) RN(강수량)
완도,Wando,34.39590000,126.70182000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
고창,Gochang,35.34824000,126.59900000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
순천,Suncheon,35.02040000,127.36940000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) SI(일사) WH(파고) BF(최대풍력) IX(유인/무인관측)
홍성,Hongseong,36.65759000,126.68772000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
서청주(예),Seocheongju,36.63972000,127.39694400,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
제주,Jeju,33.51411000,126.52969000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),
고산,Gosan,33.29382000,126.16283000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
성산,Seongsan,33.38677000,126.88020000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) SI(일사) WH(파고) BF(최대풍력) IX(유인/무인관측)
서귀포,Seogwipo,33.24616000,126.56530000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),RN(강수량) RN(강수량) RN(강수량) RN(강수량)
진주,Jinju,35.16378000,128.04004000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
강화,Ganghwa,37.70739000,126.44634000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) TS(지면온도) IR(강수자료유무),RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) SI(일사) WH(파고) BF(최대풍력) IX(유인/무인관측)
