지역명(한글),STN ID,위도(LAT),경도(LON),관측종류,해수면온도+유의파고,기온+풍향+풍속
울릉도,21229,37.45540000,131.11440000,B,a,b
덕적도,22101,37.23610000,126.01880000,B,a,b
칠발도,22102,34.79330000,125.77690000,B,a,b
거문도,22103,34.00140000,127.50140000,B,a,b
거제도,22104,34.76670000,128.90000000,B,a,b
동해,22105,37.54420000,130.00000000,B,a,b
포항,22106,36.35000000,129.78330000,B,a,b
마라도,22107,33.08330000,126.03330000,B,,
외연도,22108,36.25000000,125.75000000,B,a,b
신안,22183,34.73330000,126.24170000,B,a,b
추자도,22184,33.79361000,126.14110000,B,a,b
인천,22185,37.09170000,125.42890000,B,a,b
부안,22186,35.65860000,125.81390000,B,a,b
서귀포,22187,33.12810000,127.02280000,B,a,b
통영,22188,34.39170000,128.22500000,B,a,b
울산,22189,35.34530000,129.84140000,B,a,b
울진,22190,36.90690000,129.87440000,B,a,b
서해170,22191,36.13333000,124.05694000,B,a,b
서해206,22192,34.00000000,123.26250000,B,a,b
홍도,22298,34.74666700,125.24555600,B,a,b
서해190,22299,35.00000000,124.13000000,B,a,b
남해239,22300,32.83000000,124.73000000,B,a,b
남해465,22301,31.66666700,126.40000000,B,a,b
동해78,22302,36.96666700,130.51666700,B,a,b
풍도,22303,37.15833000,126.41000000,B,a,b
남해244,22304,32.72222000,127.27222000,B,,
제주항,22457,33.52480000,126.49430000,C,a,
장안,22454,35.29730000,129.28870000,C,a,
연곡,22451,37.86680000,128.88570000,C,a,
추자도,22468,33.97230000,126.27850000,C,a,
신진도,22444,36.60480000,126.12650000,C,a,
월포,22490,36.21670000,129.40130000,C,a,
안면도,22488,36.53670000,126.29800000,C,,
대치마도,22489,35.01730000,126.03220000,C,a,
이작도,22461,37.16480000,126.20670000,C,a,
자월도,22472,37.30420000,126.15800000,C,,
해금강,22455,34.73670000,128.69080000,C,a,
소매물도,22485,34.62050000,128.53830000,C,a,
후포,22465,36.71880000,129.48820000,C,a,
울릉읍,22464,37.47180000,130.90030000,C,a,
혈암,22442,37.54100000,130.85420000,C,a,
금오도,22466,34.56670000,127.77650000,C,a,
고흥,22478,34.37520000,127.17800000,C,a,
노화도,22477,34.24130000,126.49150000,C,a,
청산도,22456,34.13770000,126.74370000,C,a,
맹골수도,22481,34.22650000,125.95430000,C,a,
진도,22449,34.44130000,126.05600000,C,a,
영광,22475,35.43530000,126.17650000,C,a,
토성,22471,38.27680000,128.57550000,C,a,
서천,22473,36.16680000,126.33300000,C,a,
삽시도,22445,36.35570000,126.35480000,C,,
가파도,22476,33.16250000,126.26300000,C,a,
우도,22469,33.51220000,126.63380000,C,,
중문,22458,33.22500000,126.39180000,C,a,
비안도,22492,35.74000000,126.35250000,C,a,
간절곶,22483,35.36680000,129.37500000,C,a,
독도,22441,37.23700000,131.86980000,C,a,
낙월,22494,35.20070000,126.21030000,C,a,
오륙도,22459,35.09480000,129.12820000,C,a,
다대포,22460,35.02220000,128.95570000,C,a,
사량도,22501,34.86020000,128.13950000,C,,
영락,22505,33.23920000,126.19370000,C,a,
신산,22495,33.37780000,126.90630000,C,a,
나로도,22502,34.43220000,127.58920000,C,a,
남해,22498,34.69630000,127.99300000,C,a,
위도동부,22510,35.81270000,126.39900000,C,,
위도,22504,35.65820000,126.26130000,C,a,
장봉도,22496,37.49000000,126.35280000,C,a,
변산,22497,35.65870000,126.45930000,C,a,
울릉서부,22506,37.49350000,130.91020000,C,,
불무도,22503,34.31800000,126.17330000,C,a,
초도,22507,34.15120000,127.21730000,C,a,
조도,22500,34.28700000,126.11500000,C,a,
장안퇴,22509,37.03300000,126.28280000,C,a,
두미도,22450,34.70920000,128.14950000,C,a,
천수만,22487,36.46720000,126.44030000,C,a,
한산도,22467,34.70580000,128.49700000,C,a,
맹방,22479,37.40130000,129.22920000,C,a,
연화도,22499,34.67400000,128.36550000,C,a,
기장,22511,35.21950000,129.26500000,C,a,
지심도,22512,34.82780000,128.77580000,C,a,
이수도,22513,34.97280000,128.75770000,C,a,
구엄,22514,33.52050000,126.37470000,C,a,
위미,22515,33.22330000,126.70980000,C,a,
당사,22518,35.57880000,129.50320000,C,a,
고성,22519,38.31800000,128.64400000,C,a,
삼척,22521,37.46350000,129.31970000,C,a,
연평도,22522,37.61900000,125.64830000,C,a,
죽변,22523,37.10250000,129.46000000,C,a,
구룡포,22524,35.96750000,129.59930000,C,a,
볼음도,22525,37.61150000,126.13400000,C,a,
녹도,22526,36.26380000,126.20730000,C,a,
서수도,955,37.32500000,126.39333333,L,,b
가대암,956,36.77000000,125.97670000,L,,b
십이동파,957,35.98666667,126.22500000,L,,b
갈매여,958,35.61333333,126.24500000,L,,b
해수서,959,34.26333333,126.02666667,L,,b
지귀도,960,33.22333000,126.65420000,L,,b
간여암,961,34.28500000,127.85778000,L,,b
이덕서,963,35.56670000,129.47500000,L,,b
오륙도,984,35.09100000,129.12700000,L,,b
백령도,23102,37.95560000,124.73610000,N,,b
연평도,23108,37.65770000,125.71440000,N,,b
포항,37716,36.01777778,129.39916667,N,,b
삼천포,52565,34.92405600,128.06972200,N,,b
왕돌초,132129,36.71667000,129.73500000,N,,b
부산,158650,35.09305556,129.03750000,N,,b
속초,217800,38.20444444,128.59666667,N,,b
묵호,240050,37.54750000,129.11861111,N,,b
동해항,240130,37.49500000,129.14390000,N,,b
서천(마량),325894,36.12860000,126.49560000,N,,b
장항,325903,36.00694444,126.68750000,N,,b
보령,355844,36.40305555,126.48805550,N,,b
대산,356870,37.00472222,126.35444444,N,,b
태안,357914,36.91330000,126.23860000,N,,b
안흥,357945,36.67000000,126.13500000,N,,b
인천,400031,37.44916667,126.59416667,N,,b
영종대교,404170,37.55390000,126.60800000,N,,
인천(송도),406800,37.33810000,126.58610000,N,,b
영흥도,409870,37.23670000,126.43140000,N,,b
강화대교,417820,37.73190000,126.52250000,N,,
안산,445310,37.18944444,126.64972222,N,,b
평택,451821,36.96388889,126.82472222,N,,b
영광,513800,34.77666667,126.39388889,N,,b
부산신항,516090,35.07440000,128.78690000,N,,b
목포,530350,34.77805556,126.39250000,N,,b
대흑산도,535951,34.68388889,125.43583330,N,,b
완도,537800,34.31250000,126.76138889,N,,b
진도,539800,34.37770000,126.30860000,N,,b
광양,545711,34.90342000,127.75483000,N,,b
고흥,548893,34.47666667,127.34750000,N,,b
여수,550070,34.74416667,127.76805555,N,,b
거문도,556851,34.02500000,127.31083333,N,,b
군산외항,573400,35.96833333,126.62666667,N,,b
어청도,573819,36.11690000,125.98470000,N,,b
위도,579911,35.61530000,126.30390000,N,,b
가덕도,618440,35.02166667,128.81305556,N,,b
거제도,626800,34.79888889,128.70166667,N,,b
마산,630651,35.19694444,128.58000000,N,,b
진해군항,645600,35.14722000,128.64306000,N,,b
통영,650804,34.82472222,128.43694444,N,,b
교본초,650940,34.70167000,128.31000000,N,,b
추자도,680050,33.95861111,126.30222222,N,,b
제주,690704,33.52416667,126.54527778,N,,b
울산,695851,35.50055556,129.38944444,N,,b
서귀포,697010,33.23666667,126.56361111,N,,b
모슬포,699835,33.21444444,126.25111111,N,,b
성산포,699903,33.47500000,126.92777778,N,,b
후포,767800,36.67444444,129.45555556,N,,b
울릉도,799801,37.49333333,130.91388889,N,,b
법성포,33018,35.35200000,126.38740000,F,,
실리도,33019,35.06265000,128.63935000,F,,
신안,33017,34.72700000,125.90090000,F,,
대산,33001,37.02750000,126.36250000,F,,
죽도,33002,36.27511000,126.53792000,F,,
말도,33003,35.85391000,126.31797000,F,,
격포,33004,35.61902000,126.46304000,F,,
지산,33006,34.44957000,126.11840000,F,,
통영,33009,34.76516000,128.40480000,F,,
흑산도,33010,34.65088000,125.39348000,F,,
판포,33011,33.36686000,126.20052000,F,,
해남,33013,34.31570000,126.51450000,F,,
여수,33014,34.52420000,127.73030000,F,,
서귀포,33015,33.26350000,126.64260000,F,,
울산,33016,35.58100000,129.45630000,F,,
영덕,33008,36.33874000,129.38274000,F,,
남항진,33020,37.76113000,128.96119000,F,,
구룡포,33021,35.95183000,129.54965000,F,,
기상1호,22003,34.78419500,126.40514400,J,,b
