지역명(한글),STN ID,위도(LAT),경도(LON),관측종류,제공 정보,해수면온도+유의파고,기온+풍향+풍속
울릉도,21229,37.4554,131.1144,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
덕적도,22101,37.2361,126.0188,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
칠발도,22102,34.7933,125.7769,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
거문도,22103,34.0014,127.5014,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
거제도,22104,34.7667,128.9,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
동해,22105,37.5442,130,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
포항,22106,36.35,129.7833,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
외연도,22108,36.25,125.75,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
신안,22183,34.7333,126.2417,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
추자도,22184,33.79361,126.1411,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
인천,22185,37.0917,125.4289,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
부안,22186,35.6586,125.8139,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
서귀포,22187,33.1281,127.0228,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
통영,22188,34.3917,128.225,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
울산,22189,35.3453,129.8414,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
울진,22190,36.9069,129.8744,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
서해170,22191,36.13333,124.05694,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
서해206,22192,34,123.2625,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
홍도,22298,34.746667,125.245556,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
서해190,22299,35,124.13,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
남해239,22300,32.83,124.73,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
남해465,22301,31.666667,126.4,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
동해78,22302,36.966667,130.516667,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
풍도,22303,37.15833,126.41,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a,b
서수도,955,37.325,126.3933333,L,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
가대암,956,36.77,125.9767,L,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
십이동파,957,35.98666667,126.225,L,TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
갈매여,958,35.61333333,126.245,L,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
해수서,959,34.26333333,126.0266667,L,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
지귀도,960,33.22333,126.6542,L,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
간여암,961,34.285,127.85778,L,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
이덕서,963,35.5667,129.475,L,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
오륙도,984,35.091,129.127,L,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
백령도,23102,37.9556,124.7361,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
연평도,23108,37.6577,125.7144,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
포항,37716,36.01777778,129.3991667,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
삼천포,52565,34.924056,128.069722,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
왕돌초,132129,36.71667,129.735,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
부산,158650,35.09305556,129.0375,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
속초,217800,38.20444444,128.5966667,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
묵호,240050,37.5475,129.1186111,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
동해항,240130,37.495,129.1439,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
서천(마량),325894,36.1286,126.4956,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
장항,325903,36.00694444,126.6875,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
보령,355844,36.40305555,126.4880555,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
대산,356870,37.00472222,126.3544444,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
태안,357914,36.9133,126.2386,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
안흥,357945,36.67,126.135,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
인천,400031,37.44916667,126.5941667,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
인천(송도),406800,37.3381,126.5861,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
영흥도,409870,37.2367,126.4314,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
안산,445310,37.18944444,126.6497222,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
평택,451821,36.96388889,126.8247222,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
영광,513800,34.77666667,126.3938889,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
부산신항,516090,35.0744,128.7869,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
목포,530350,34.77805556,126.3925,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
대흑산도,535951,34.68388889,125.4358333,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
완도,537800,34.3125,126.7613889,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
진도,539800,34.3777,126.3086,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
광양,545711,34.90342,127.75483,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
고흥,548893,34.47666667,127.3475,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
여수,550070,34.74416667,127.7680556,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
거문도,556851,34.025,127.3108333,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
군산외항,573400,35.96833333,126.6266667,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
어청도,573819,36.1169,125.9847,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
위도,579911,35.6153,126.3039,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
가덕도,618440,35.02166667,128.8130556,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
거제도,626800,34.79888889,128.7016667,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
마산,630651,35.19694444,128.58,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
진해군항,645600,35.14722,128.64306,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
통영,650804,34.82472222,128.4369444,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
교본초,650940,34.70167,128.31,N,PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
추자도,680050,33.95861111,126.3022222,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
제주,690704,33.52416667,126.5452778,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
울산,695851,35.50055556,129.3894444,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
서귀포,697010,33.23666667,126.5636111,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
모슬포,699835,33.21444444,126.2511111,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
성산포,699903,33.475,126.9277778,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
후포,767800,36.67444444,129.4555556,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
울릉도,799801,37.49333333,130.9138889,N,PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
기상1호,22003,34.784195,126.405144,J,HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속),,b
