a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON)
"목포","530350","34.77805556","126.3925"
"대흑산도","535951","34.68388889","125.4358333"
"완도","537800","34.3125","126.76138889"
"진도","539800","34.3777","126.3086"
"고흥","548893","34.47666667","127.3475"
"여수","550070","34.74416667","127.76805555"
"울릉도","21229","37.4554","131.1144"
"덕적도","22101","37.2361","126.0188"
"칠발도","22102","34.7933","125.7769"
"거문도","22103","34.0014","127.5014"
"거제도","22104","34.7667","128.9"
"동해","22105","37.5442","130"
"포항","22106","36.35","129.7833"
"마라도","22107","33.0833","126.0333"
"외연도","22108","36.25","125.75"
"신안","22183","34.73333333","126.24166667"
"추자도","22184","33.79361","126.1411"
"인천","22185","37.0917","125.4289"
"부안","22186","35.6586","125.8139"
"서귀포","22187","33.1281","127.0228"
"통영","22188","34.3917","128.225"
"울산","22189","35.3453","129.8414"
"울진","22190","36.9069","129.8744"
"서해170","22191","36.13333","124.05694"
"서해206","22192","34","123.2625"
"서해143","22193","37.5","124.0167"
"가거도","22297","34.0275","125.214722"
"홍도","22298","34.746667","125.245556"
"서해190","22299","35","124.13"
"남해239","22300","32.83","124.73"
"남해465","22301","31.666667","126.4"
"동해78","22302","36.966667","130.516667"
"남해244","22304","32.72222","127.27222"
"동해57","22305","38.366667","129.6"
"남해111","22309","33.775","128.375"
"고성","22310","38.31722","128.639167"
"삼척","22311","37.46389","129.31805"
"내파수도","22446","36.45139","126.24"
"소매물도","22485","34.62138889","128.538"
"대치마도","22489","35.0175","126.0319"
"자은","22493","34.91917","125.86806"
"위도동부","22510","35.64297","126.358611"
"지심도","22512","34.82777778","128.775"
"위미","22515","33.22369","126.71119"
"강릉","22520","37.79833","129.06083"
"연평도","22522","37.61944444","125.64833333"
"죽변","22523","37.10278","129.45944"
"제주항","22457","33.5255","126.4942"
"장안","22454","35.2972","129.2883"
"연곡","22451","37.8673","128.8855"
"추자도","22468","33.9732","126.2788"
"거문도","556851","34.025","127.31083333"
"신진도","22444","36.6047","126.126"
"월포","22490","36.2163","129.4012"
"김녕","22491","33.5818","126.764"
"안면도","22488","36.5367","126.2982"
"이작도","22461","37.1653","126.2067"
"자월도","22472","37.3043","126.158"
"해금강","22455","34.735","128.691"
"후포","22465","36.7195","129.4883"
"울릉읍","22464","37.4717","130.9005"
"혈암","22442","37.5413","130.8542"
"구암","22443","37.4792","130.8043"
"금오도","22466","34.567","127.7767"
"고흥","22478","34.3752","127.1785"
"노화도","22477","34.2415","126.4918"
"맹골수도","22481","34.2262","125.9545"
"영광","22475","35.4353","126.176"
"군산","22474","35.8878","126.4255"
"토성","22471","38.2772","128.5753"
"서천","22473","36.1668","126.3327"
"삽시도","22445","36.3712","126.338"
"가파도","22476","33.1627","126.2637"
"우도","22469","33.5223","126.9662"
"중문","22458","33.2253","126.3923"
"비안도","22492","35.74","126.3518"
"협재","22486","33.4007","126.2092"
"간절곶","22483","35.3663","129.3752"
"잠도","22484","35.0578","128.6807"
"독도","22441","37.2375","131.8695"
"낙월","22494","35.2003","126.21"
"오륙도","22459","35.0948","129.1282"
"다대포","22460","35.0213","128.955"
"사량도","22501","34.861","128.1382"
"영락","22505","33.2383","126.195"
"신산","22495","33.3775","126.906"
"나로도","22502","34.4322","127.5892"
"남해","22498","34.6963","127.9923"
"위도","22504","35.6582","126.2607"
"장봉도","22496","37.4897","126.3532"
"변산","22497","35.659","126.4588"
"불무도","22503","34.318","126.1737"
"초도","22507","34.1512","127.2187"
"두미도","22450","34.7098","128.1497"
"천수만","22487","36.4672","126.4395"
"한산도","22467","34.7055","128.4953"
"맹방","22479","37.4015","129.2288"
"연화도","22499","34.6738","128.3648"
"기장","22511","35.2187","129.2645"
"당사","22518","35.5777","129.5032"
"구룡포","22524","35.9687","129.5997"
"볼음도","22525","37.6117","126.1335"
"녹도","22526","36.264","126.2075"
"신창","22516","33.366","126.1092"
"진도","22449","34.4418","126.0568"
"표류25020","22605","21.06382","125.3735"
"표류25023","22683","23.07905","132.08839"
"표류25011","22946","29.12392","131.41194"
"포항","37716","36.01777778","129.39916667"
"삼천포","52565","34.924056","128.069722"
"부산","158650","35.09305556","129.0375"
"속초","217800","38.20444444","128.59666667"
"묵호","240050","37.5475","129.11861111"
"보령","355844","36.40305555","126.4880555"
"대산","356870","37.00472222","126.35444444"
"안흥","357945","36.67","126.135"
"인천","400031","37.44916667","126.59416667"
"안산","445310","37.18944444","126.64972222"
"평택","451821","36.96388889","126.82472222"
"군산외항","573400","35.96833333","126.62666667"
"어청도","573819","36.1169","125.9847"
"가덕도","618440","35.02166667","128.81305556"
"거제도","626800","34.79888889","128.70166667"
"마산","630651","35.19694444","128.58"
"통영","650804","34.82472222","128.43694444"
"추자도","680050","33.95861111","126.30222222"
"제주","690704","33.52416667","126.54527778"
"울산","695851","35.50055556","129.38944444"
"서귀포","697010","33.23666667","126.56361111"
"모슬포","699835","33.21444444","126.25111111"
"성산포","699903","33.475","126.92777778"
"후포","767800","36.67444444","129.45555556"
"울릉도","799801","37.49333333","130.91388889"
"기상1호","22003","33.235279","126.569443"
"표류25016","22601","6.05024","102.40561"
"청산도","22456","34.138","126.744"
"조도","22500","34.2867","126.1138"
"표류25019","22604","21.2811","136.05235"
"풍도","22303","37.15833","126.41"