b_지역명(한글),b_STN ID,b_위도(LAT),b_경도(LON)
"인천(송도)","406800","37.3381","126.5861"
"영흥도","409870","37.2367","126.4314"
"영광","513800","34.77666667","126.39388889"
"부산신항","516090","35.0744","128.7869"
"목포","530350","34.77805556","126.3925"
"대흑산도","535951","34.68388889","125.4358333"
"완도","537800","34.3125","126.76138889"
"진도","539800","34.3777","126.3086"
"광양","545711","34.90342","127.75483"
"고흥","548893","34.47666667","127.3475"
"여수","550070","34.74416667","127.76805555"
"울릉도","21229","37.4554","131.1144"
"덕적도","22101","37.2361","126.0188"
"칠발도","22102","34.7933","125.7769"
"거문도","22103","34.0014","127.5014"
"거제도","22104","34.7667","128.9"
"동해","22105","37.5442","130"
"포항","22106","36.35","129.7833"
"마라도","22107","33.0833","126.0333"
"외연도","22108","36.25","125.75"
"신안","22183","34.73333333","126.24166667"
"추자도","22184","33.79361","126.1411"
"인천","22185","37.0917","125.4289"
"부안","22186","35.6586","125.8139"
"서귀포","22187","33.1281","127.0228"
"통영","22188","34.3917","128.225"
"울산","22189","35.3453","129.8414"
"울진","22190","36.9069","129.8744"
"서해170","22191","36.13333","124.05694"
"서해206","22192","34","123.2625"
"서해143","22193","37.5","124.0167"
"가거도","22297","34.0275","125.214722"
"홍도","22298","34.746667","125.245556"
"서해190","22299","35","124.13"
"남해239","22300","32.83","124.73"
"남해465","22301","31.666667","126.4"
"동해78","22302","36.966667","130.516667"
"남해244","22304","32.72222","127.27222"
"동해57","22305","38.366667","129.6"
"남해111","22309","33.775","128.375"
"고성","22310","38.31722","128.639167"
"삼척","22311","37.46389","129.31805"
"내파수도","22446","36.45139","126.24"
"소매물도","22485","34.62138889","128.538"
"대치마도","22489","35.0175","126.0319"
"자은","22493","34.91917","125.86806"
"위도동부","22510","35.64297","126.358611"
"지심도","22512","34.82777778","128.775"
"위미","22515","33.22369","126.71119"
"강릉","22520","37.79833","129.06083"
"연평도","22522","37.61944444","125.64833333"
"죽변","22523","37.10278","129.45944"
"거문도","556851","34.025","127.31083333"
"서수도","955","37.325","126.39333333"
"가대암","956","36.77","125.9767"
"십이동파","957","35.98666667","126.225"
"갈매여","958","35.61333333","126.245"
"해수서","959","34.26333333","126.02666667"
"지귀도","960","33.22333","126.6542"
"간여암","961","34.285","127.85778"
"이덕서","963","35.5667","129.475"
"오륙도","984","35.091","129.127"
"백령도","23102","37.9556","124.7361"
"연평도","23108","37.6577","125.7144"
"포항","37716","36.01777778","129.39916667"
"삼천포","52565","34.924056","128.069722"
"부산","158650","35.09305556","129.0375"
"속초","217800","38.20444444","128.59666667"
"묵호","240050","37.5475","129.11861111"
"동해항","240130","37.495","129.1439"
"서천(마량)","325894","36.1286","126.4956"
"장항","325903","36.00694444","126.6875"
"보령","355844","36.40305555","126.4880555"
"대산","356870","37.00472222","126.35444444"
"태안","357914","36.9133","126.2386"
"안흥","357945","36.67","126.135"
"인천","400031","37.44916667","126.59416667"
"안산","445310","37.18944444","126.64972222"
"평택","451821","36.96388889","126.82472222"
"군산외항","573400","35.96833333","126.62666667"
"어청도","573819","36.1169","125.9847"
"위도","579911","35.6153","126.3039"
"가덕도","618440","35.02166667","128.81305556"
"거제도","626800","34.79888889","128.70166667"
"마산","630651","35.19694444","128.58"
"진해군항","645600","35.14722","128.64306"
"통영","650804","34.82472222","128.43694444"
"교본초","650940","34.70167","128.31"
"추자도","680050","33.95861111","126.30222222"
"제주","690704","33.52416667","126.54527778"
"울산","695851","35.50055556","129.38944444"
"서귀포","697010","33.23666667","126.56361111"
"모슬포","699835","33.21444444","126.25111111"
"성산포","699903","33.475","126.92777778"
"후포","767800","36.67444444","129.45555556"
"울릉도","799801","37.49333333","130.91388889"
"법성포","33018","35.352","126.3874"
"실리도","33019","35.06265","128.63935"
"신안","33017","34.727","125.9009"
"대산","33001","37.0275","126.3625"
"죽도","33002","36.27511","126.53792"
"말도","33003","35.85391","126.31797"
"격포","33004","35.61902","126.46304"
"지산","33006","34.44957","126.1184"
"통영","33009","34.76516","128.4048"
"흑산도","33010","34.65088","125.39348"
"판포","33011","33.36686","126.20052"
"해남","33013","34.3157","126.5145"
"여수","33014","34.5242","127.7303"
"서귀포","33015","33.2635","126.6426"
"울산","33016","35.581","129.4563"
"영덕","33008","36.33874","129.38274"
"구룡포","33021","35.95183","129.54965"
"정동진","33020","37.68472","129.04444"
"기상1호","22003","33.235279","126.569443"
"왕돌초","132129","36.71667","129.735"
"풍도","22303","37.15833","126.41"