﻿Code,Name,Latitude,Longitude,marine_reg_name,AddressA,AddressB,AddressC,a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON),a_제공 정보,b_지역명(한글),b_STN ID,b_위도(LAT),b_경도(LON),b_제공 정보
SO_0326,미조항,34.706389,128.048611,남해동부,경상남도,남해군,방파제길,남해,22498,34.6963,127.993,TW(해수면온도),삼천포,52565,34.924056,128.069722,PA(해면기압)
SO_0536,덕적도,37.227778,126.157778,서해북부,인천광역시,옹진군,덕적면,이작도,22461,37.1648,126.2067,TW(해수면온도),덕적도,22101,37.2361,126.0188,HM(상대습도)
SO_0537,벽파진(벽파항),34.539444,126.346111,서해남부,전라남도,진도군,벽파길,신안,22183,34.7333,126.2417,HM(상대습도),진도,539800,34.3777,126.3086,PA(해면기압)
SO_0538,안마도,35.345556,126.016111,서해남부,전라남도,영광군,안마길,영광,22475,35.4353,126.1765,TW(해수면온도),갈매여,958,35.61333333,126.245,PA(해면기압)
SO_0539,강화외포,37.700833,126.3725,서해북부,인천광역시,강화군,내가면,장봉도,22496,37.49,126.3528,TW(해수면온도),인천,400031,37.44916667,126.5941667,PA(해면기압)
SO_0540,호산항,37.176111,129.342778,동해중부,강원특별자치도,삼척시,호산3길,죽변,22523,37.1025,129.46,TW(해수면온도),동해항,240130,37.495,129.1439,PA(해면기압)
SO_0543,서거차도,34.253611,125.917778,서해남부,전라남도,진도군,서거차도1길,맹골수도,22481,34.2265,125.9543,TW(해수면온도),해수서,959,34.26333333,126.0266667,PA(해면기압)
SO_0547,말도,35.855278,126.318333,서해중부,전북특별자치도,군산시,말도길,비안도,22492,35.74,126.3525,TW(해수면온도),십이동파,957,35.98666667,126.225,TA(기온)
SO_0548,우이도(신안),34.620556,125.856667,서해남부,전라남도,신안군,우이진리길,칠발도,22102,34.7933,125.7769,HM(상대습도),칠발도,22102,34.7933,125.7769,HM(상대습도)
SO_0550,나로도,34.463056,127.453889,남해서부,전라남도,고흥군,나로도항길,나로도,22502,34.4322,127.5892,TW(해수면온도),고흥,548893,34.47666667,127.3475,PA(해면기압)
SO_0551,여서도,33.988056,126.923333,서해남부,전라남도,완도군,여서도길,청산도,22456,34.1377,126.7437,TW(해수면온도),완도,537800,34.3125,126.7613889,PA(해면기압)
SO_0552,고현항,34.901944,128.622222,남해동부,경상남도,거제시,연하해안로,이수도,22513,34.9728,128.7577,TW(해수면온도),거제도,626800,34.79888889,128.7016667,PA(해면기압)
SO_0553,해운대,35.1602777777778,129.1915,남해동부,부산광역시,해운대구,중1동,오륙도,22459,35.0948,129.1282,TW(해수면온도),오륙도,984,35.091,129.127,PA(해면기압)
SO_0554,영종왕산,37.458056,126.358889,서해북부,인천광역시,중구,왕산마리나길 131,장봉도,22496,37.49,126.3528,TW(해수면온도),서수도,955,37.325,126.3933333,PA(해면기압)
SO_0555,서망항,34.366667,126.134167,서해남부,전라남도,진도군,서망항길,불무도,22503,34.318,126.1733,TW(해수면온도),해수서,959,34.26333333,126.0266667,PA(해면기압)
SO_0562,승봉도,37.169722,126.290556,서해북부,인천광역시,옹진군,자월면,이작도,22461,37.1648,126.2067,TW(해수면온도),풍도,22303,37.15833,126.41,HM(상대습도)
SO_0563,울도,37.035556,125.995,서해북부,인천광역시,옹진군,덕적면 울도리 산46-1,덕적도,22101,37.2361,126.0188,HM(상대습도),덕적도,22101,37.2361,126.0188,HM(상대습도)
SO_0564,국화도,37.060556,126.560556,서해북부,경기도,화성시,우정읍,풍도,22303,37.15833,126.41,HM(상대습도),안산,445310,37.18944444,126.6497222,PA(해면기압)
SO_0565,향화도항,35.167778,126.359444,서해남부,전라남도,영광군,77,낙월,22494,35.2007,126.2103,TW(해수면온도),기상1호,22003,34.784195,126.405144,HM(상대습도)
SO_0566,송공항,34.848333,126.225278,서해남부,전라남도,신안군,압해로,신안,22183,34.7333,126.2417,HM(상대습도),신안,22183,34.7333,126.2417,HM(상대습도)
SO_0567,쉬미항,34.504722,126.183611,서해남부,전라남도,진도군,소포리,진도,22449,34.4413,126.056,TW(해수면온도),진도,539800,34.3777,126.3086,PA(해면기압)
SO_0568,백야도,34.624444,127.632222,남해서부,전라남도,여수시,백야해안길,금오도,22466,34.5667,127.7765,TW(해수면온도),여수,550070,34.74416667,127.7680556,PA(해면기압)
SO_0569,남포항,34.957778,128.321667,남해동부,경상남도,고성군,공룡로,연화도,22499,34.674,128.3655,TW(해수면온도),통영,650804,34.82472222,128.4369444,PA(해면기압)
SO_0570,광암항,35.1025,128.498889,남해동부,경상남도,창원시,해양관광로,이수도,22513,34.9728,128.7577,TW(해수면온도),마산,630651,35.19694444,128.58,PA(해면기압)
SO_0571,거제외포,34.939444,128.718056,남해동부,경상남도,거제시,외포5길 60,이수도,22513,34.9728,128.7577,TW(해수면온도),가덕도,618440,35.02166667,128.8130556,PA(해면기압)
SO_0572,읍천항,35.690833,129.475556,남해동부,경상북도,경주시,양남항구길,당사,22518,35.5788,129.5032,TW(해수면온도),이덕서,963,35.5667,129.475,PA(해면기압)
SO_0573,양포항,35.881389,129.5275,남해동부,경상북도,포항시,양포항길,구룡포,22524,35.9675,129.5993,TW(해수면온도),포항,37716,36.01777778,129.3991667,PA(해면기압)
SO_0574,백사장항,36.586389,126.315,서해중부,충청남도,태안군,안면읍,천수만,22487,36.4672,126.4403,TW(해수면온도),안흥,357945,36.67,126.135,PA(해면기압)
SO_0576,화봉리,34.661111,126.256944,서해남부,전라남도,해남군,화봉리,신안,22183,34.7333,126.2417,HM(상대습도),신안,22183,34.7333,126.2417,HM(상대습도)
SO_0577,가거도,34.050833,125.128889,서해남부,전라남도,신안군,가거도길,홍도,22298,34.746667,125.245556,HM(상대습도),대흑산도,535951,34.68388889,125.4358333,PA(해면기압)
SO_0578,소매물도,34.621944,128.548056,남해동부,경상남도,통영시,장군봉 등산로,소매물도,22485,34.6205,128.5383,TW(해수면온도),통영,650804,34.82472222,128.4369444,PA(해면기압)
SO_0581,강양항,35.39,129.344722,남해동부,울산광역시,울주군,서생면 진하리 410,간절곶,22483,35.3668,129.375,TW(해수면온도),울산,695851,35.50055556,129.3894444,PA(해면기압)
SO_0631,암태도,34.853056,126.071389,서해남부,전라남도,신안군,중부로,대치마도,22489,35.0173,126.0322,TW(해수면온도),신안,22183,34.7333,126.2417,HM(상대습도)
SO_0699,천리포항,36.803889,126.146944,서해중부,충청남도,태안군,소원면 천리포2길 61,신진도,22444,36.6048,126.1265,TW(해수면온도),안흥,357945,36.67,126.135,PA(해면기압)
SO_0701,홍도항,34.681111,125.195,서해남부,전라남도,신안군,홍도1길,홍도,22298,34.746667,125.245556,HM(상대습도),홍도,22298,34.746667,125.245556,HM(상대습도)
SO_0702,진도옥도,34.350833,126.018611,서해남부,전라남도,진도군,옥도길,진도,22449,34.4413,126.056,TW(해수면온도),해수서,959,34.26333333,126.0266667,PA(해면기압)
SO_0703,땅끝항,34.298889,126.531111,서해남부,전라남도,해남군,갈두산 등산로,노화도,22477,34.2413,126.4915,TW(해수면온도),완도,537800,34.3125,126.7613889,PA(해면기압)
SO_0704,소안항(완도),34.15,126.631944,서해남부,전라남도,완도군,소안로,청산도,22456,34.1377,126.7437,TW(해수면온도),완도,537800,34.3125,126.7613889,PA(해면기압)
SO_0705,마량항,34.448889,126.821944,서해남부,전라남도,강진군,미항로 181-3,청산도,22456,34.1377,126.7437,TW(해수면온도),완도,537800,34.3125,126.7613889,PA(해면기압)
SO_0706,청산도,34.180833,126.856111,서해남부,전라남도,완도군,청산로,청산도,22456,34.1377,126.7437,TW(해수면온도),완도,537800,34.3125,126.7613889,PA(해면기압)
SO_0707,시산항,34.394444,127.261667,남해서부,전라남도,고흥군,시산리,고흥,22478,34.3752,127.178,TW(해수면온도),고흥,548893,34.47666667,127.3475,PA(해면기압)
SO_0708,안도항,34.479722,127.797778,남해서부,전라남도,여수시,안도리,금오도,22466,34.5667,127.7765,TW(해수면온도),간여암,961,34.285,127.85778,PA(해면기압)
SO_0709,두문포,34.643611,127.7975,남해서부,전라남도,여수시,죽포리,금오도,22466,34.5667,127.7765,TW(해수면온도),여수,550070,34.74416667,127.7680556,PA(해면기압)
SO_0710,봉우항,34.932778,127.9275,남해서부,경상남도,남해군,강진로438번길,남해,22498,34.6963,127.993,TW(해수면온도),삼천포,52565,34.924056,128.069722,PA(해면기압)
SO_0711,창선도,34.840556,128.019444,남해동부,경상남도,남해군,동부대로2084번길,남해,22498,34.6963,127.993,TW(해수면온도),삼천포,52565,34.924056,128.069722,PA(해면기압)
SO_0712,능양항,34.812222,128.245,남해동부,경상남도,통영시,백학길,두미도,22450,34.7092,128.1495,TW(해수면온도),교본초,650940,34.70167,128.31,PA(해면기압)
SO_0731,대진항,38.501389,128.426167,동해중부,강원특별자치도,고성군,대진항길,토성,22471,38.2768,128.5755,TW(해수면온도),속초,217800,38.20444444,128.5966667,PA(해면기압)
SO_0732,남애항,37.944222,128.788333,동해중부,강원특별자치도,양양군,매바위길,연곡,22451,37.8668,128.8857,TW(해수면온도),속초,217800,38.20444444,128.5966667,PA(해면기압)
SO_0733,강릉항,37.772278,128.951333,동해중부,강원특별자치도,강릉시,경강로,연곡,22451,37.8668,128.8857,TW(해수면온도),묵호,240050,37.5475,129.1186111,PA(해면기압)
SO_0734,궁촌항,37.327806,129.270028,동해중부,강원특별자치도,삼척시,근덕면 궁촌리 213-13,맹방,22479,37.4013,129.2292,TW(해수면온도),동해항,240130,37.495,129.1439,PA(해면기압)
SO_0735,죽변항,37.054833,129.423917,동해중부,,울진군,죽변항길,죽변,22523,37.1025,129.46,TW(해수면온도),후포,767800,36.67444444,129.4555556,PA(해면기압)
SO_0736,축산항,36.509944,129.448139,동해남부,,영덕군,동해안 자전거길,후포,22465,36.7188,129.4882,TW(해수면온도),후포,767800,36.67444444,129.4555556,PA(해면기압)
SO_0737,강구항,36.358583,129.391306,동해남부,,영덕군,동해안 자전거길,월포,22490,36.2167,129.4013,TW(해수면온도),후포,767800,36.67444444,129.4555556,PA(해면기압)
SO_0738,여호항,34.661556,127.469556,남해서부,전라남도,고흥군,여호리,나로도,22502,34.4322,127.5892,TW(해수면온도),고흥,548893,34.47666667,127.3475,PA(해면기압)
SO_0739,도장항,34.367306,127.011972,남해서부,전라남도,완도군,장정리,고흥,22478,34.3752,127.178,TW(해수면온도),완도,537800,34.3125,126.7613889,PA(해면기압)
SO_0740,보옥항,34.129,126.513556,서해남부,전라남도,완도군,보길로,노화도,22477,34.2413,126.4915,TW(해수면온도),추자도,680050,33.95861111,126.3022222,PA(해면기압)
SO_0752,검산항,35.0,126.107778,서해남부,전라남도,신안군,보물섬길,대치마도,22489,35.0173,126.0322,TW(해수면온도),신안,22183,34.7333,126.2417,HM(상대습도)
SO_0753,하의도웅곡,34.608333,126.038611,서해남부,전라남도,신안군,곰실길 3-23,진도,22449,34.4413,126.056,TW(해수면온도),신안,22183,34.7333,126.2417,HM(상대습도)
SO_0754,평호리,34.448056,126.455,서해남부,전라남도,해남군,평호길,노화도,22477,34.2413,126.4915,TW(해수면온도),진도,539800,34.3777,126.3086,PA(해면기압)
SO_0755,원동항,34.393889,126.648611,서해남부,전라남도,완도군,완도로,노화도,22477,34.2413,126.4915,TW(해수면온도),완도,537800,34.3125,126.7613889,PA(해면기압)
SO_0756,사초항,34.470278,126.761111,서해남부,전라남도,강진군,사초리,청산도,22456,34.1377,126.7437,TW(해수면온도),완도,537800,34.3125,126.7613889,PA(해면기압)
SO_0757,안남리,34.730278,127.264444,남해서부,전라남도,고흥군,동서로,고흥,22478,34.3752,127.178,TW(해수면온도),고흥,548893,34.47666667,127.3475,PA(해면기압)
SO_0758,달천도,34.761667,127.563056,남해서부,전라남도,여수시,섬달천길,금오도,22466,34.5667,127.7765,TW(해수면온도),여수,550070,34.74416667,127.7680556,PA(해면기압)
SO_0759,장문리,34.873611,128.424167,남해동부,경상남도,통영시,죽림해안로,한산도,22467,34.7058,128.497,TW(해수면온도),통영,650804,34.82472222,128.4369444,PA(해면기압)
SO_0760,오산항,36.888889,129.416111,동해남부,경상북도,울진군,망양정로 54,후포,22465,36.7188,129.4882,TW(해수면온도),후포,767800,36.67444444,129.4555556,PA(해면기압)
SO_0761,녹동항,34.527028,127.134528,남해서부,전라남도,고흥군,목넘가는길,고흥,22478,34.3752,127.178,TW(해수면온도),고흥,548893,34.47666667,127.3475,PA(해면기압)
DT_0001,인천,37.451944,126.592222,서해북부,인천광역시,중구,항동 7가 82-10,장봉도,22496,37.49,126.3528,TW(해수면온도),인천,400031,37.44916667,126.5941667,PA(해면기압)
DT_0002,평택,36.966944,126.822778,서해중부,충청남도,당진시,당진항만로,풍도,22303,37.15833,126.41,HM(상대습도),평택,451821,36.96388889,126.8247222,PA(해면기압)
DT_0003,영광,35.426111,126.420556,서해남부,전라남도,영광군,버든,변산,22497,35.6587,126.4593,TW(해수면온도),위도,579911,35.6153,126.3039,PA(해면기압)
DT_0004,제주,33.5275,126.543056,제주도해상,제주특별자치도,제주시,임항로,제주항,22457,33.5248,126.4943,TW(해수면온도),제주,690704,33.52416667,126.5452778,PA(해면기압)
DT_0005,부산,35.096389,129.035278,남해동부,부산광역시,중구,남포동,오륙도,22459,35.0948,129.1282,TW(해수면온도),부산,158650,35.09305556,129.0375,PA(해면기압)
DT_0006,묵호,37.550278,129.116389,동해중부,강원특별자치도,동해시,묵호진동 15-200,맹방,22479,37.4013,129.2292,TW(해수면온도),묵호,240050,37.5475,129.1186111,PA(해면기압)
DT_0007,목포,34.7797222222222,126.375556,서해남부,전라남도,목포시,해안로,신안,22183,34.7333,126.2417,HM(상대습도),목포,530350,34.77805556,126.3925,PA(해면기압)
DT_0008,안산,37.192222,126.647222,서해북부,경기도,안산시,대부황금로 5-5,풍도,22303,37.15833,126.41,HM(상대습도),안산,445310,37.18944444,126.6497222,PA(해면기압)
DT_0009,포항,36.0472222222222,129.383888888889,동해남부,경상북도,포항시,동해안 자전거길,월포,22490,36.2167,129.4013,TW(해수면온도),포항,37716,36.01777778,129.3991667,PA(해면기압)
DT_0010,서귀포,33.24,126.561667,남해서부,제주특별자치도,서귀포시,칠십리로,위미,22515,33.2233,126.7098,TW(해수면온도),서귀포,697010,33.23666667,126.5636111,PA(해면기압)
DT_0011,후포,36.6775,129.453056,동해남부,경상북도,울진군,후포면,후포,22465,36.7188,129.4882,TW(해수면온도),후포,767800,36.67444444,129.4555556,PA(해면기압)
DT_0012,속초,38.207222,128.594167,동해중부,강원특별자치도,속초시,설악금강대교로,토성,22471,38.2768,128.5755,TW(해수면온도),속초,217800,38.20444444,128.5966667,PA(해면기압)
DT_0013,울릉도,37.491389,130.913611,동해중부,경상북도,울릉군,해안산책로,울릉읍,22464,37.4718,130.9003,TW(해수면온도),울릉도,799801,37.49333333,130.9138889,PA(해면기압)
DT_0014,통영,34.827778,128.434722,남해동부,경상남도,통영시,통영 자전거길,한산도,22467,34.7058,128.497,TW(해수면온도),통영,650804,34.82472222,128.4369444,PA(해면기압)
DT_0015,마산,35.21,128.588889,남해동부,경상남도,창원시,무역로,이수도,22513,34.9728,128.7577,TW(해수면온도),마산,630651,35.19694444,128.58,PA(해면기압)
DT_0016,여수,34.747222,127.765556,남해서부,전라남도,여수시,오동도로 248,금오도,22466,34.5667,127.7765,TW(해수면온도),여수,550070,34.74416667,127.7680556,PA(해면기압)
DT_0017,대산,37.0075,126.352778,서해북부,충청남도,서산시,독곶2로,장안퇴,22509,37.033,126.2828,TW(해수면온도),대산,356870,37.00472222,126.3544444,PA(해면기압)
DT_0018,군산,35.975556,126.563056,서해중부,전북특별자치도,군산시,서해로,서천,22473,36.1668,126.333,TW(해수면온도),군산외항,573400,35.96833333,126.6266667,PA(해면기압)
DT_0019,가덕도,35.024167,128.810833,남해동부,,부산광역시,가덕해안로,이수도,22513,34.9728,128.7577,TW(해수면온도),가덕도,618440,35.02166667,128.8130556,PA(해면기압)
DT_0020,울산,35.501944,129.387222,남해동부,,울산광역시,장생포고래로 28,간절곶,22483,35.3668,129.375,TW(해수면온도),울산,695851,35.50055556,129.3894444,PA(해면기압)
DT_0021,추자도,33.961944,126.300278,서해남부,제주특별자치도,제주시,대서2길,추자도,22468,33.9723,126.2785,TW(해수면온도),추자도,680050,33.95861111,126.3022222,PA(해면기압)
DT_0022,성산포,33.474722,126.927778,남해서부,제주특별자치도,서귀포시,성산등용로,신산,22495,33.3778,126.9063,TW(해수면온도),성산포,699903,33.475,126.9277778,PA(해면기압)
DT_0023,모슬포,33.214444,126.251111,남해서부,제주특별자치도,서귀포시,하모항구로,가파도,22476,33.1625,126.263,TW(해수면온도),모슬포,699835,33.21444444,126.2511111,PA(해면기압)
DT_0024,장항,36.006944,126.6875,서해중부,충청남도,서천군,장산로,서천,22473,36.1668,126.333,TW(해수면온도),장항,325903,36.00694444,126.6875,PA(해면기압)
DT_0025,보령,36.406389,126.486111,서해중부,충청남도,보령시,영보리,천수만,22487,36.4672,126.4403,TW(해수면온도),보령,355844,36.40305555,126.4880555,PA(해면기압)
DT_0026,고흥발포,34.481111,127.342778,남해서부,전라남도,고흥군,,고흥,22478,34.3752,127.178,TW(해수면온도),고흥,548893,34.47666667,127.3475,PA(해면기압)
DT_0027,완도,34.315556,126.759722,서해남부,전라남도,완도군,장보고대로 315,청산도,22456,34.1377,126.7437,TW(해수면온도),완도,537800,34.3125,126.7613889,PA(해면기압)
DT_0028,진도,34.377778,126.308611,서해남부,전라남도,진도군,금갑리,불무도,22503,34.318,126.1733,TW(해수면온도),진도,539800,34.3777,126.3086,PA(해면기압)
DT_0029,거제도,34.801389,128.699167,남해동부,경상남도,거제시,구조라로 101,해금강,22455,34.7367,128.6908,TW(해수면온도),거제도,626800,34.79888889,128.7016667,PA(해면기압)
DT_0030,위도,35.618056,126.301667,서해중부,전북특별자치도,부안군,위도로 2,위도,22504,35.6582,126.2613,TW(해수면온도),위도,579911,35.6153,126.3039,PA(해면기압)
DT_0031,거문도,34.028333,127.308889,남해서부,전라남도,여수시,거문길,초도,22507,34.1512,127.2173,TW(해수면온도),거문도,556851,34.025,127.3108333,PA(해면기압)
DT_0032,강화대교,37.731944,126.522222,서해북부,,김포시,강화대교,장봉도,22496,37.49,126.3528,TW(해수면온도),인천,400031,37.44916667,126.5941667,PA(해면기압)
DT_0034,안흥,36.673611,126.132222,서해중부,충청남도,태안군,신진도리,신진도,22444,36.6048,126.1265,TW(해수면온도),안흥,357945,36.67,126.135,PA(해면기압)
DT_0035,흑산도,34.684167,125.435556,서해남부,전라남도,신안군,진리,홍도,22298,34.746667,125.245556,HM(상대습도),대흑산도,535951,34.68388889,125.4358333,PA(해면기압)
DT_0036,대청도,37.825222,124.718056,서해북부,인천광역시,옹진군,대청면,연평도,22522,37.619,125.6483,TW(해수면온도),백령도,23102,37.9556,124.7361,PA(해면기압)
DT_0037,어청도,36.117222,125.984722,서해중부,전북특별자치도,군산시,어청도길,녹도,22526,36.2638,126.2073,TW(해수면온도),어청도,573819,36.1169,125.9847,PA(해면기압)
DT_0038,굴업도,37.194444,125.995,서해북부,인천광역시,옹진군,덕적면,덕적도,22101,37.2361,126.0188,HM(상대습도),덕적도,22101,37.2361,126.0188,HM(상대습도)
DT_0039,왕돌초,36.7191666666667,129.7325,동해남부,경상북도,울진군,후포면 후포리,울진,22190,36.9069,129.8744,HM(상대습도),왕돌초,132129,36.71667,129.735,PA(해면기압)
DT_0040,독도,37.238889,131.867222,동해중부,경상북도,울릉군,독도이사부길,독도,22441,37.237,131.8698,TW(해수면온도),울릉도,21229,37.4554,131.1144,HM(상대습도)
DT_0041,복사초,34.0983333333333,126.168333333333,서해남부,전라남도,신안군,흑산면,추자도,22468,33.9723,126.2785,TW(해수면온도),추자도,680050,33.95861111,126.3022222,PA(해면기압)
DT_0042,교본초,34.7047222222222,128.306388888889,남해동부,경상남도,여수시,삼산면,연화도,22499,34.674,128.3655,TW(해수면온도),교본초,650940,34.70167,128.31,PA(해면기압)
DT_0043,영흥도,37.2386111111111,126.428611111111,서해북부,인천광역시,옹진군,영흥면,풍도,22303,37.15833,126.41,HM(상대습도),영흥도,409870,37.2367,126.4314,PA(해면기압)
DT_0044,영종대교,37.545556,126.584444,서해북부,인천광역시,중구,중산동,장봉도,22496,37.49,126.3528,TW(해수면온도),인천,400031,37.44916667,126.5941667,PA(해면기압)
DT_0045,격렬비열도,36.624369,125.561964,서해중부,충청남도,태안군,근흥면 가의도리,외연도,22108,36.25,125.75,HM(상대습도),외연도,22108,36.25,125.75,HM(상대습도)
DT_0046,쌍정초,37.556161,130.939211,동해중부,경상북도,울릉군,저동리,혈암,22442,37.541,130.8542,TW(해수면온도),울릉도,799801,37.49333333,130.9138889,PA(해면기압)
DT_0047,도농탄,33.158056,126.274722,남해서부,제주특별자치도,서귀포시,가파리,가파도,22476,33.1625,126.263,TW(해수면온도),모슬포,699835,33.21444444,126.2511111,PA(해면기압)
DT_0048,속초등표,38.199478,128.613083,동해중부,강원특별자치도,속초시,청호해안길 (동해안 자전거길),토성,22471,38.2768,128.5755,TW(해수면온도),속초,217800,38.20444444,128.5966667,PA(해면기압)
DT_0049,광양,34.903672,127.754836,남해서부,전라남도,광양시,제철로 1800,남해,22498,34.6963,127.993,TW(해수면온도),광양,545711,34.90342,127.75483,PA(해면기압)
DT_0050,태안,36.9130555555556,126.238888888889,서해중부,충청남도,태안군,발전로,장안퇴,22509,37.033,126.2828,TW(해수면온도),태안,357914,36.9133,126.2386,PA(해면기압)
DT_0051,서천마량,36.1288888888889,126.495277777778,서해중부,충청남도,서천군,마량리,서천,22473,36.1668,126.333,TW(해수면온도),서천(마량),325894,36.1286,126.4956,PA(해면기압)
DT_0052,인천송도,37.3380555555556,126.586111111111,서해북부,인천광역시,연수구,송도동,풍도,22303,37.15833,126.41,HM(상대습도),인천(송도),406800,37.3381,126.5861,PA(해면기압)
DT_0054,진해,35.147222,128.643056,남해동부,경상남도,창원시,충장로,이수도,22513,34.9728,128.7577,TW(해수면온도),진해군항,645600,35.14722,128.64306,PA(해면기압)
DT_0056,부산항신항,35.0775,128.784722,남해동부,경상남도,창원시,진해구 웅동2동,이수도,22513,34.9728,128.7577,TW(해수면온도),부산신항,516090,35.0744,128.7869,PA(해면기압)
DT_0057,동해항,37.494722,129.143889,동해남부,강원특별자치도,동해시,갯목길,맹방,22479,37.4013,129.2292,TW(해수면온도),동해항,240130,37.495,129.1439,PA(해면기압)
DT_0058,경인항,37.560833,126.601111,서해북부,,인천광역시,갑문1로,장봉도,22496,37.49,126.3528,TW(해수면온도),인천,400031,37.44916667,126.5941667,PA(해면기압)
DT_0059,백령도,37.95565,124.736081,서해북부,,옹진군,백령로,연평도,22522,37.619,125.6483,TW(해수면온도),백령도,23102,37.9556,124.7361,PA(해면기압)
DT_0060,연평도,37.657669,125.714417,서해북부,,옹진군,연평리,연평도,22522,37.619,125.6483,TW(해수면온도),연평도,23108,37.6577,125.7144,PA(해면기압)
DT_0061,삼천포,34.924167,128.069722,남해동부,경상남도,사천시,어시장길,두미도,22450,34.7092,128.1495,TW(해수면온도),삼천포,52565,34.924056,128.069722,PA(해면기압)
DT_0062,마산,35.1975,128.576389,남해동부,경상남도,창원시,제2부두로,이수도,22513,34.9728,128.7577,TW(해수면온도),마산,630651,35.19694444,128.58,PA(해면기압)
DT_0063,가덕도,35.024178,128.810933,남해동부,,부산광역시,가덕해안로,이수도,22513,34.9728,128.7577,TW(해수면온도),가덕도,618440,35.02166667,128.8130556,PA(해면기압)
DT_0064,교동대교,37.789611,126.339611,서해북부,,인천광역시,교동대교,볼음도,22525,37.6115,126.134,TW(해수면온도),인천,400031,37.44916667,126.5941667,PA(해면기압)
DT_0065,덕적도,37.226333,126.156556,서해북부,,옹진군,덕적북로,이작도,22461,37.1648,126.2067,TW(해수면온도),덕적도,22101,37.2361,126.0188,HM(상대습도)
DT_0067,안흥,36.6746388888889,126.129555555556,서해중부,충청남도,태안군,마도길,신진도,22444,36.6048,126.1265,TW(해수면온도),안흥,357945,36.67,126.135,PA(해면기압)
DT_0068,위도,35.6180844444444,126.301815833333,서해중부,전북특별자치도,부안군,위도로 2,위도,22504,35.6582,126.2613,TW(해수면온도),위도,579911,35.6153,126.3039,PA(해면기압)
DT_0091,포항,36.051777,129.376277,동해남부,경상북도,포항시,동해안 자전거길,월포,22490,36.2167,129.4013,TW(해수면온도),포항,37716,36.01777778,129.3991667,PA(해면기압)
DT_0092,여호항,34.661944,127.469167,남해서부,전라남도,고흥군,여호리,나로도,22502,34.4322,127.5892,TW(해수면온도),고흥,548893,34.47666667,127.3475,PA(해면기압)
DT_0093,소무의도,37.373069,126.440066,서해북부,,인천광역시,소무의로16번길,장봉도,22496,37.49,126.3528,TW(해수면온도),서수도,955,37.325,126.3933333,PA(해면기압)
DT_0094,서거차도,34.25142222,125.915449999,서해남부,전라남도,진도군,서거차도2길,맹골수도,22481,34.2265,125.9543,TW(해수면온도),해수서,959,34.26333333,126.0266667,PA(해면기압)
IE_0060,이어도,32.1227777777778,125.182222222222,남해서부,제주,서귀포시 대정읍,가파리,남해239,22300,32.83,124.73,HM(상대습도),남해239,22300,32.83,124.73,HM(상대습도)
IE_0061,신안가거초,33.941944,124.592778,서해남부,전라남도,신안군 흑산면,가거도리,홍도,22298,34.746667,125.245556,HM(상대습도),홍도,22298,34.746667,125.245556,HM(상대습도)
IE_0062,옹진소청초,37.423056,124.738056,서해북부,인천광역시,옹진군 영흥면,외리 1133-18,인천,22185,37.0917,125.4289,HM(상대습도),백령도,23102,37.9556,124.7361,PA(해면기압)
