Code,Name,Latitude,Longitude,a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON),a_제공 정보,b_STN ID,b_위도(LAT),b_경도(LON),b_제공 정보
DT_0001,인천,37.451944,126.592222,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0002,평택,36.966944,126.822778,풍도,22303,37.15833,126.41,HM(상대습도),451821,36.96388889,126.8247222,PA(해면기압)
DT_0003,영광,35.426111,126.420556,변산,22497,35.6587,126.4593,TW(해수면온도),579911,35.6153,126.3039,PA(해면기압)
DT_0004,제주,33.5275,126.543056,제주항,22457,33.5248,126.4943,TW(해수면온도),690704,33.52416667,126.5452778,PA(해면기압)
DT_0005,부산,35.096389,129.035278,오륙도,22459,35.0948,129.1282,TW(해수면온도),158650,35.09305556,129.0375,PA(해면기압)
DT_0006,묵호,37.550278,129.116389,맹방,22479,37.4013,129.2292,TW(해수면온도),240050,37.5475,129.1186111,PA(해면기압)
DT_0007,목포,34.779722,126.375556,신안,22183,34.7333,126.2417,HM(상대습도),530350,34.77805556,126.3925,PA(해면기압)
DT_0008,안산,37.192222,126.647222,풍도,22303,37.15833,126.41,HM(상대습도),445310,37.18944444,126.6497222,PA(해면기압)
DT_0009,포항,36.047222,129.383889,월포,22490,36.2167,129.4013,TW(해수면온도),37716,36.01777778,129.3991667,PA(해면기압)
DT_0010,서귀포,33.24,126.561667,위미,22515,33.2233,126.7098,TW(해수면온도),697010,33.23666667,126.5636111,PA(해면기압)
DT_0011,후포,36.6775,129.453056,후포,22465,36.7188,129.4882,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
DT_0012,속초,38.207222,128.594167,토성,22471,38.2768,128.5755,TW(해수면온도),217800,38.20444444,128.5966667,PA(해면기압)
DT_0013,울릉도,37.491389,130.913611,울릉읍,22464,37.4718,130.9003,TW(해수면온도),799801,37.49333333,130.9138889,PA(해면기압)
DT_0014,통영,34.827778,128.434722,한산도,22467,34.7058,128.497,TW(해수면온도),650804,34.82472222,128.4369444,PA(해면기압)
DT_0015,마산,35.21,128.588889,이수도,22513,34.9728,128.7577,TW(해수면온도),630651,35.19694444,128.58,PA(해면기압)
DT_0016,여수,34.747222,127.765556,금오도,22466,34.5667,127.7765,TW(해수면온도),550070,34.74416667,127.7680556,PA(해면기압)
DT_0017,대산,37.0075,126.352778,장안퇴,22509,37.033,126.2828,TW(해수면온도),356870,37.00472222,126.3544444,PA(해면기압)
DT_0018,군산,35.975556,126.563056,서천,22473,36.1668,126.333,TW(해수면온도),573400,35.96833333,126.6266667,PA(해면기압)
DT_0019,가덕도,35.024167,128.810833,이수도,22513,34.9728,128.7577,TW(해수면온도),618440,35.02166667,128.8130556,PA(해면기압)
DT_0020,울산,35.501944,129.387222,간절곶,22483,35.3668,129.375,TW(해수면온도),695851,35.50055556,129.3894444,PA(해면기압)
DT_0021,추자도,33.961944,126.300278,추자도,22468,33.9723,126.2785,TW(해수면온도),680050,33.95861111,126.3022222,PA(해면기압)
DT_0022,성산포,33.474722,126.927778,신산,22495,33.3778,126.9063,TW(해수면온도),699903,33.475,126.9277778,PA(해면기압)
DT_0023,모슬포,33.214444,126.251111,가파도,22476,33.1625,126.263,TW(해수면온도),699835,33.21444444,126.2511111,PA(해면기압)
DT_0024,장항,36.006944,126.6875,서천,22473,36.1668,126.333,TW(해수면온도),325903,36.00694444,126.6875,PA(해면기압)
DT_0025,보령,36.406389,126.486111,천수만,22487,36.4672,126.4403,TW(해수면온도),355844,36.40305555,126.4880555,PA(해면기압)
DT_0026,고흥발포,34.481111,127.342778,고흥,22478,34.3752,127.178,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
DT_0027,완도,34.315556,126.759722,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
DT_0028,진도,34.377778,126.308611,불무도,22503,34.318,126.1733,TW(해수면온도),539800,34.3777,126.3086,PA(해면기압)
DT_0029,거제도,34.801389,128.699167,해금강,22455,34.7367,128.6908,TW(해수면온도),626800,34.79888889,128.7016667,PA(해면기압)
DT_0030,위도,35.618056,126.301667,위도,22504,35.6582,126.2613,TW(해수면온도),579911,35.6153,126.3039,PA(해면기압)
DT_0031,거문도,34.028333,127.308889,초도,22507,34.1512,127.2173,TW(해수면온도),556851,34.025,127.3108333,PA(해면기압)
DT_0032,강화대교,37.731944,126.522222,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0034,안흥,36.673611,126.132222,신진도,22444,36.6048,126.1265,TW(해수면온도),357945,36.67,126.135,PA(해면기압)
DT_0035,흑산도,34.684167,125.435556,홍도,22298,34.746667,125.245556,HM(상대습도),535951,34.68388889,125.4358333,PA(해면기압)
DT_0036,대청도,37.825222,124.718056,연평도,22522,37.619,125.6483,TW(해수면온도),23102,37.9556,124.7361,PA(해면기압)
DT_0037,어청도,36.117222,125.984722,녹도,22526,36.2638,126.2073,TW(해수면온도),573819,36.1169,125.9847,PA(해면기압)
DT_0038,굴업도,37.194444,125.995,덕적도,22101,37.2361,126.0188,HM(상대습도),22101,37.2361,126.0188,HM(상대습도)
DT_0039,왕돌초,36.719167,129.7325,울진,22190,36.9069,129.8744,HM(상대습도),132129,36.71667,129.735,PA(해면기압)
DT_0040,독도,37.238889,131.867222,독도,22441,37.237,131.8698,TW(해수면온도),21229,37.4554,131.1144,HM(상대습도)
DT_0041,복사초,34.098333,126.168333,추자도,22468,33.9723,126.2785,TW(해수면온도),680050,33.95861111,126.3022222,PA(해면기압)
DT_0042,교본초,34.704722,128.306389,연화도,22499,34.674,128.3655,TW(해수면온도),650940,34.70167,128.31,PA(해면기압)
DT_0043,영흥도,37.238611,126.428611,풍도,22303,37.15833,126.41,HM(상대습도),409870,37.2367,126.4314,PA(해면기압)
DT_0044,영종대교,37.545556,126.584444,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0045,격렬비열도,36.624369,125.561964,외연도,22108,36.25,125.75,HM(상대습도),22108,36.25,125.75,HM(상대습도)
DT_0046,쌍정초,37.55616,130.9392,혈암,22442,37.541,130.8542,TW(해수면온도),799801,37.49333333,130.9138889,PA(해면기압)
DT_0047,도농탄,33.15806,126.2747,가파도,22476,33.1625,126.263,TW(해수면온도),699835,33.21444444,126.2511111,PA(해면기압)
DT_0048,속초등표,38.19948,128.6131,토성,22471,38.2768,128.5755,TW(해수면온도),217800,38.20444444,128.5966667,PA(해면기압)
DT_0049,광양,34.90367,127.7548,남해,22498,34.6963,127.993,TW(해수면온도),545711,34.90342,127.75483,PA(해면기압)
DT_0050,태안,36.91306,126.2389,장안퇴,22509,37.033,126.2828,TW(해수면온도),357914,36.9133,126.2386,PA(해면기압)
DT_0051,서천마량,36.12889,126.4953,서천,22473,36.1668,126.333,TW(해수면온도),325894,36.1286,126.4956,PA(해면기압)
DT_0052,인천송도,37.33806,126.5861,풍도,22303,37.15833,126.41,HM(상대습도),406800,37.3381,126.5861,PA(해면기압)
DT_0054,진해,35.14722,128.6431,이수도,22513,34.9728,128.7577,TW(해수면온도),645600,35.14722,128.64306,PA(해면기압)
DT_0056,부산항신항,35.0775,128.7847,이수도,22513,34.9728,128.7577,TW(해수면온도),516090,35.0744,128.7869,PA(해면기압)
DT_0057,동해항,37.49472,129.1439,맹방,22479,37.4013,129.2292,TW(해수면온도),240130,37.495,129.1439,PA(해면기압)
DT_0058,경인항,37.56083,126.6011,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0059,백령도,37.95565,124.7361,연평도,22522,37.619,125.6483,TW(해수면온도),23102,37.9556,124.7361,PA(해면기압)
DT_0060,연평도,37.65767,125.7144,연평도,22522,37.619,125.6483,TW(해수면온도),23108,37.6577,125.7144,PA(해면기압)
DT_0061,삼천포,34.92417,128.0697,두미도,22450,34.7092,128.1495,TW(해수면온도),52565,34.924056,128.069722,PA(해면기압)
DT_0062,마산,35.1975,128.5764,이수도,22513,34.9728,128.7577,TW(해수면온도),630651,35.19694444,128.58,PA(해면기압)
DT_0063,가덕도,35.02418,128.8109,이수도,22513,34.9728,128.7577,TW(해수면온도),618440,35.02166667,128.8130556,PA(해면기압)
DT_0064,교동대교,37.78961,126.3396,볼음도,22525,37.6115,126.134,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0065,덕적도,37.22633,126.1566,이작도,22461,37.1648,126.2067,TW(해수면온도),22101,37.2361,126.0188,HM(상대습도)
DT_0067,안흥,36.67464,126.1296,신진도,22444,36.6048,126.1265,TW(해수면온도),357945,36.67,126.135,PA(해면기압)
DT_0068,위도,35.61808,126.3018,위도,22504,35.6582,126.2613,TW(해수면온도),579911,35.6153,126.3039,PA(해면기압)
DT_0091,포항,36.05178,129.3763,월포,22490,36.2167,129.4013,TW(해수면온도),37716,36.01777778,129.3991667,PA(해면기압)
DT_0092,여호항,34.66194,127.4692,나로도,22502,34.4322,127.5892,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
DT_0093,소무의도,37.37307,126.4401,장봉도,22496,37.49,126.3528,TW(해수면온도),955,37.325,126.3933333,PA(해면기압)
DT_0094,서거차도,34.25142,125.9155,맹골수도,22481,34.2265,125.9543,TW(해수면온도),959,34.26333333,126.0266667,PA(해면기압)
SO_0326,미조항,34.706389,128.048611,남해,22498,34.6963,127.993,TW(해수면온도),52565,34.924056,128.069722,PA(해면기압)
SO_0536,덕적도,37.227778,126.157778,이작도,22461,37.1648,126.2067,TW(해수면온도),22101,37.2361,126.0188,HM(상대습도)
SO_0537,벽파진,34.539444,126.346111,신안,22183,34.7333,126.2417,HM(상대습도),539800,34.3777,126.3086,PA(해면기압)
SO_0538,안마도,35.345556,126.016111,영광,22475,35.4353,126.1765,TW(해수면온도),958,35.61333333,126.245,PA(해면기압)
SO_0539,강화외포,37.700833,126.3725,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
SO_0540,호산항,37.176111,129.342778,죽변,22523,37.1025,129.46,TW(해수면온도),240130,37.495,129.1439,PA(해면기압)
SO_0543,서거차도,34.253611,125.917778,맹골수도,22481,34.2265,125.9543,TW(해수면온도),959,34.26333333,126.0266667,PA(해면기압)
SO_0547,말도,35.855278,126.318333,비안도,22492,35.74,126.3525,TW(해수면온도),957,35.98666667,126.225,TA(기온)
SO_0548,우이도,34.620556,125.856667,칠발도,22102,34.7933,125.7769,HM(상대습도),22102,34.7933,125.7769,HM(상대습도)
SO_0550,나로도,34.463056,127.453889,나로도,22502,34.4322,127.5892,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
SO_0551,여서도,33.988056,126.923333,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0552,고현항,34.901944,128.622222,이수도,22513,34.9728,128.7577,TW(해수면온도),626800,34.79888889,128.7016667,PA(해면기압)
SO_0553,해운대,35.160278,129.1915,오륙도,22459,35.0948,129.1282,TW(해수면온도),984,35.091,129.127,PA(해면기압)
SO_0554,영종왕산,37.458056,126.358889,장봉도,22496,37.49,126.3528,TW(해수면온도),955,37.325,126.3933333,PA(해면기압)
SO_0555,서망항,34.366667,126.134167,불무도,22503,34.318,126.1733,TW(해수면온도),959,34.26333333,126.0266667,PA(해면기압)
SO_0562,승봉도,37.169722,126.290556,이작도,22461,37.1648,126.2067,TW(해수면온도),22303,37.15833,126.41,HM(상대습도)
SO_0563,울도,37.035556,125.995,덕적도,22101,37.2361,126.0188,HM(상대습도),22101,37.2361,126.0188,HM(상대습도)
SO_0564,국화도,37.060556,126.560556,풍도,22303,37.15833,126.41,HM(상대습도),445310,37.18944444,126.6497222,PA(해면기압)
SO_0565,향화도항,35.167778,126.359444,낙월,22494,35.2007,126.2103,TW(해수면온도),22003,34.784195,126.405144,HM(상대습도)
SO_0566,송공항,34.848333,126.225278,신안,22183,34.7333,126.2417,HM(상대습도),22183,34.7333,126.2417,HM(상대습도)
SO_0567,쉬미항,34.504722,126.183611,진도,22449,34.4413,126.056,TW(해수면온도),539800,34.3777,126.3086,PA(해면기압)
SO_0568,백야도,34.624444,127.632222,금오도,22466,34.5667,127.7765,TW(해수면온도),550070,34.74416667,127.7680556,PA(해면기압)
SO_0569,남포항,34.957778,128.321667,연화도,22499,34.674,128.3655,TW(해수면온도),650804,34.82472222,128.4369444,PA(해면기압)
SO_0570,광암항,35.1025,128.498889,이수도,22513,34.9728,128.7577,TW(해수면온도),630651,35.19694444,128.58,PA(해면기압)
SO_0571,거제외포,34.939444,128.718056,이수도,22513,34.9728,128.7577,TW(해수면온도),618440,35.02166667,128.8130556,PA(해면기압)
SO_0572,읍천항,35.690833,129.475556,당사,22518,35.5788,129.5032,TW(해수면온도),963,35.5667,129.475,PA(해면기압)
SO_0573,양포항,35.881389,129.5275,구룡포,22524,35.9675,129.5993,TW(해수면온도),37716,36.01777778,129.3991667,PA(해면기압)
SO_0574,백사장항,36.586389,126.315,천수만,22487,36.4672,126.4403,TW(해수면온도),357945,36.67,126.135,PA(해면기압)
SO_0576,화봉리,34.661111,126.256944,신안,22183,34.7333,126.2417,HM(상대습도),22183,34.7333,126.2417,HM(상대습도)
SO_0577,가거도,34.050833,125.128889,홍도,22298,34.746667,125.245556,HM(상대습도),535951,34.68388889,125.4358333,PA(해면기압)
SO_0578,소매물도,34.621944,128.548056,소매물도,22485,34.6205,128.5383,TW(해수면온도),650804,34.82472222,128.4369444,PA(해면기압)
SO_0581,강양항,35.39,129.344722,간절곶,22483,35.3668,129.375,TW(해수면온도),695851,35.50055556,129.3894444,PA(해면기압)
SO_0631,암태도,34.853056,126.071389,대치마도,22489,35.0173,126.0322,TW(해수면온도),22183,34.7333,126.2417,HM(상대습도)
SO_0699,천리포항,36.803889,126.146944,신진도,22444,36.6048,126.1265,TW(해수면온도),357945,36.67,126.135,PA(해면기압)
SO_0701,홍도항,34.681111,125.195,홍도,22298,34.746667,125.245556,HM(상대습도),22298,34.746667,125.245556,HM(상대습도)
SO_0702,진도옥도,34.350833,126.018611,진도,22449,34.4413,126.056,TW(해수면온도),959,34.26333333,126.0266667,PA(해면기압)
SO_0703,땅끝항,34.298889,126.531111,노화도,22477,34.2413,126.4915,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0704,소안항,34.15,126.631944,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0705,마량항,34.448889,126.821944,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0706,청산도,34.180833,126.856111,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0707,시산항,34.394444,127.261667,고흥,22478,34.3752,127.178,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
SO_0708,안도항,34.479722,127.797778,금오도,22466,34.5667,127.7765,TW(해수면온도),961,34.285,127.85778,PA(해면기압)
SO_0709,두문포,34.643611,127.7975,금오도,22466,34.5667,127.7765,TW(해수면온도),550070,34.74416667,127.7680556,PA(해면기압)
SO_0710,봉우항,34.932778,127.9275,남해,22498,34.6963,127.993,TW(해수면온도),52565,34.924056,128.069722,PA(해면기압)
SO_0711,창선도,34.840556,128.019444,남해,22498,34.6963,127.993,TW(해수면온도),52565,34.924056,128.069722,PA(해면기압)
SO_0712,능양항,34.812222,128.245,두미도,22450,34.7092,128.1495,TW(해수면온도),650940,34.70167,128.31,PA(해면기압)
SO_0731,대진항,38.501389,128.426167,토성,22471,38.2768,128.5755,TW(해수면온도),217800,38.20444444,128.5966667,PA(해면기압)
SO_0732,남애항,37.944222,128.788333,연곡,22451,37.8668,128.8857,TW(해수면온도),217800,38.20444444,128.5966667,PA(해면기압)
SO_0733,강릉항,37.772278,128.951333,연곡,22451,37.8668,128.8857,TW(해수면온도),240050,37.5475,129.1186111,PA(해면기압)
SO_0734,궁촌항,37.327806,129.270028,맹방,22479,37.4013,129.2292,TW(해수면온도),240130,37.495,129.1439,PA(해면기압)
SO_0735,죽변항,37.054833,129.423917,죽변,22523,37.1025,129.46,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
SO_0736,축산항,36.509944,129.448139,후포,22465,36.7188,129.4882,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
SO_0737,강구항,36.358583,129.391306,월포,22490,36.2167,129.4013,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
SO_0738,여호항,34.661556,127.469556,나로도,22502,34.4322,127.5892,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
SO_0739,도장항,34.367306,127.011972,고흥,22478,34.3752,127.178,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0740,보옥항,34.129,126.513556,노화도,22477,34.2413,126.4915,TW(해수면온도),680050,33.95861111,126.3022222,PA(해면기압)
SO_0752,검산항,35,126.107778,대치마도,22489,35.0173,126.0322,TW(해수면온도),22183,34.7333,126.2417,HM(상대습도)
SO_0753,하의도웅곡,34.608333,126.038611,진도,22449,34.4413,126.056,TW(해수면온도),22183,34.7333,126.2417,HM(상대습도)
SO_0754,평호리,34.448056,126.455,노화도,22477,34.2413,126.4915,TW(해수면온도),539800,34.3777,126.3086,PA(해면기압)
SO_0755,원동항,34.393889,126.648611,노화도,22477,34.2413,126.4915,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0756,사초항,34.470278,126.761111,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0757,안남리,34.730278,127.264444,고흥,22478,34.3752,127.178,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
SO_0758,달천도,34.761667,127.563056,금오도,22466,34.5667,127.7765,TW(해수면온도),550070,34.74416667,127.7680556,PA(해면기압)
SO_0759,장문리,34.873611,128.424167,한산도,22467,34.7058,128.497,TW(해수면온도),650804,34.82472222,128.4369444,PA(해면기압)
SO_0760,오산항,36.888889,129.416111,후포,22465,36.7188,129.4882,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
SO_0761,녹동항,34.527028,127.134528,고흥,22478,34.3752,127.178,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)